epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,207.743,0.68857,0.70681,0.9965,0.98241,0.98692,0.98857,0.85589,0.51863,0.51776,1.00579,0.000475134,0.000475134,0.000475134
2,394.994,0.61811,0.45807,0.96876,0.96612,0.96834,0.98895,0.87105,0.50842,0.45401,0.99365,0.000904369,0.000904369,0.000904369
3,577.161,0.57388,0.39733,0.95216,0.98958,0.99034,0.99482,0.89736,0.45998,0.34956,0.98793,0.00128645,0.00128645,0.00128645
4,764.865,0.52819,0.37962,0.93536,0.99693,0.99419,0.99446,0.91951,0.39546,0.27432,0.95933,0.00121679,0.00121679,0.00121679
5,949.039,0.48517,0.33929,0.91384,0.95264,0.98375,0.99317,0.91662,0.40371,0.44652,0.97937,0.00114606,0.00114606,0.00114606
6,1156.66,0.45251,0.31186,0.90644,0.99693,0.99418,0.99476,0.93618,0.3559,0.24216,0.93984,0.00107532,0.00107532,0.00107532
7,1365.19,0.41893,0.27981,0.88684,0.99585,0.99904,0.99495,0.95433,0.30044,0.20957,0.91971,0.00100459,0.00100459,0.00100459
8,1575.41,0.40244,0.27126,0.87819,0.99487,0.99634,0.99486,0.94839,0.30904,0.21344,0.916,0.000933851,0.000933851,0.000933851
9,1790.54,0.37693,0.25038,0.86773,0.99721,0.99853,0.99492,0.95381,0.29382,0.20629,0.91714,0.000863116,0.000863116,0.000863116
10,2003.45,0.36488,0.24417,0.86937,0.99722,0.99742,0.99497,0.95797,0.28946,0.18489,0.91786,0.00079238,0.00079238,0.00079238
11,2226.5,0.33549,0.23892,0.85237,0.99817,0.99853,0.99493,0.9516,0.27976,0.20184,0.9103,0.000721645,0.000721645,0.000721645
12,2434.56,0.33017,0.23118,0.84961,0.99613,0.99822,0.99493,0.95518,0.26798,0.19798,0.91005,0.000650909,0.000650909,0.000650909
13,2645.69,0.31445,0.22171,0.83834,0.99556,0.99927,0.99498,0.96448,0.26555,0.18224,0.90104,0.000580174,0.000580174,0.000580174
14,2858.53,0.29578,0.20607,0.83729,0.99659,1,0.99498,0.96064,0.26663,0.18463,0.90867,0.000509438,0.000509438,0.000509438
15,3086.41,0.28067,0.19874,0.83174,0.99756,0.99856,0.99499,0.96637,0.23943,0.16675,0.88921,0.000438703,0.000438703,0.000438703
16,3281.14,0.25898,0.18615,0.8209,0.99639,0.99927,0.99497,0.96986,0.22584,0.15577,0.89252,0.000367967,0.000367967,0.000367967
17,3475.62,0.25011,0.17815,0.8193,0.9981,1,0.99499,0.97663,0.19895,0.14141,0.87894,0.000297232,0.000297232,0.000297232
18,3678.89,0.23462,0.16654,0.80897,0.99883,0.99927,0.99497,0.97787,0.20436,0.13736,0.88005,0.000226497,0.000226497,0.000226497
19,3874.53,0.21596,0.15276,0.80544,0.99767,1,0.99499,0.98045,0.17532,0.12917,0.86975,0.000155761,0.000155761,0.000155761
20,4061.76,0.20457,0.1466,0.7992,0.99709,1,0.995,0.98071,0.16924,0.11863,0.8691,8.50255e-05,8.50255e-05,8.50255e-05
