epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.338,0.65958,0.83252,0.98472,0.99623,0.9964,0.99491,0.89741,0.44271,0.30072,0.80892,0.0700756,0.00332494,0.00332494
2,391.665,0.51362,0.41082,0.87296,0.99536,0.99711,0.99468,0.87513,0.47163,0.34018,0.82628,0.0400654,0.00664811,0.00664811
3,573.911,0.58788,0.43603,0.89832,0.99644,0.99381,0.99493,0.86065,0.54353,0.35457,0.85381,0.0100147,0.00993071,0.00993071
4,755.832,0.58709,0.42407,0.90805,0.99701,0.99576,0.99483,0.8823,0.45366,0.34761,0.88668,0.00986323,0.00986323,0.00986323
5,937.595,0.55134,0.3816,0.89847,0.99763,0.99606,0.99491,0.90355,0.44159,0.31495,0.85323,0.00975773,0.00975773,0.00975773
6,1120.01,0.51047,0.35126,0.89046,0.99674,0.99487,0.99477,0.945,0.33656,0.26877,0.83369,0.0096232,0.0096232,0.0096232
7,1302.31,0.47103,0.32473,0.87138,0.9944,0.99678,0.99446,0.93209,0.33639,0.30099,0.8278,0.00946048,0.00946048,0.00946048
8,1481.15,0.46204,0.31707,0.87173,0.99148,0.99095,0.99396,0.9274,0.36168,0.25299,0.86863,0.00927057,0.00927057,0.00927057
9,1659.92,0.43308,0.30148,0.86238,0.99701,0.99414,0.99473,0.94934,0.30827,0.23794,0.83075,0.00905463,0.00905463,0.00905463
10,1845.58,0.42246,0.29212,0.86014,0.95774,0.98989,0.99425,0.9409,0.33829,0.3557,0.83563,0.00881401,0.00881401,0.00881401
11,2028.13,0.40137,0.2747,0.84999,0.99771,0.99927,0.99499,0.96746,0.27871,0.21176,0.82126,0.00855018,0.00855018,0.00855018
12,2212.05,0.3763,0.26962,0.84319,0.99712,0.99596,0.99486,0.96349,0.28035,0.21246,0.82615,0.00826477,0.00826477,0.00826477
13,2395.02,0.36096,0.25561,0.84235,0.99638,0.99707,0.99493,0.95436,0.27941,0.2047,0.83702,0.00795954,0.00795954,0.00795954
14,2577.15,0.35063,0.24764,0.83106,0.99647,0.99684,0.99474,0.96822,0.23619,0.18855,0.80948,0.00763637,0.00763637,0.00763637
15,2757.94,0.33173,0.23407,0.8277,0.99808,0.99849,0.99492,0.97507,0.2305,0.17262,0.80316,0.00729725,0.00729725,0.00729725
16,2940.49,0.33005,0.23294,0.8293,0.9974,0.9981,0.99497,0.97274,0.25097,0.19694,0.83199,0.00694428,0.00694428,0.00694428
17,3123.06,0.31723,0.22432,0.82786,0.99844,1,0.99499,0.98084,0.22649,0.18222,0.8044,0.00657963,0.00657963,0.00657963
18,3338.49,0.30242,0.21472,0.82302,0.99911,0.99807,0.995,0.97732,0.21487,0.1675,0.81065,0.00620555,0.00620555,0.00620555
19,3553.53,0.29198,0.20953,0.81647,0.99732,0.99763,0.99474,0.98117,0.20398,0.16838,0.80101,0.00582435,0.00582435,0.00582435
20,3735.15,0.28942,0.20203,0.81827,0.99889,0.99912,0.99499,0.98249,0.19984,0.15783,0.81412,0.00543837,0.00543837,0.00543837
21,3943.8,0.27372,0.19429,0.81146,0.99825,0.99936,0.995,0.9837,0.18696,0.14346,0.79867,0.00505,0.00505,0.00505
22,4160.68,0.2678,0.18993,0.81208,0.99887,1,0.99499,0.98454,0.1909,0.15602,0.79215,0.00466163,0.00466163,0.00466163
23,4346.05,0.26023,0.18299,0.80967,0.99967,0.99981,0.995,0.9859,0.17302,0.14246,0.80273,0.00427565,0.00427565,0.00427565
24,4528.15,0.24744,0.17618,0.80922,0.99902,1,0.995,0.98637,0.17587,0.13932,0.80208,0.00389445,0.00389445,0.00389445
25,4746.2,0.23488,0.16652,0.80371,0.99958,1,0.995,0.98666,0.16949,0.13182,0.83472,0.00352037,0.00352037,0.00352037
26,4934.78,0.22781,0.16237,0.80713,0.99975,0.99985,0.995,0.98738,0.16088,0.13322,0.82448,0.00315572,0.00315572,0.00315572
27,5148.35,0.21836,0.15661,0.80319,0.99817,1,0.995,0.98848,0.15098,0.12205,0.81697,0.00280275,0.00280275,0.00280275
28,5361.74,0.21449,0.15258,0.80082,0.99973,1,0.995,0.98816,0.14749,0.12091,0.78792,0.00246363,0.00246363,0.00246363
29,5546.69,0.2071,0.14624,0.7915,0.99964,1,0.995,0.98783,0.14738,0.11509,0.7848,0.00214046,0.00214046,0.00214046
30,5733.77,0.19648,0.13924,0.79402,0.99959,1,0.995,0.98994,0.14477,0.10624,0.79922,0.00183523,0.00183523,0.00183523
31,5924.26,0.19484,0.13697,0.79519,0.99975,1,0.995,0.98996,0.14162,0.10498,0.7986,0.00154982,0.00154982,0.00154982
32,6111.1,0.19177,0.13245,0.79368,0.99945,1,0.995,0.99083,0.12937,0.09791,0.7956,0.00128599,0.00128599,0.00128599
33,6295.14,0.18153,0.12645,0.79349,0.99954,1,0.995,0.99083,0.12466,0.09561,0.78985,0.00104537,0.00104537,0.00104537
34,6479.94,0.17704,0.12282,0.78907,0.99975,1,0.995,0.99071,0.1298,0.10032,0.78468,0.000829431,0.000829431,0.000829431
35,6664.25,0.17502,0.12089,0.794,0.99996,1,0.995,0.99111,0.12325,0.09724,0.78265,0.000639518,0.000639518,0.000639518
36,6887.75,0.15099,0.11085,0.77078,0.99956,1,0.995,0.9906,0.1251,0.10015,0.78592,0.000476796,0.000476796,0.000476796
37,7073.51,0.14936,0.10631,0.77681,0.99875,1,0.995,0.991,0.12084,0.095,0.78332,0.00034227,0.00034227,0.00034227
38,7262.2,0.14377,0.10336,0.77348,0.99883,1,0.995,0.99077,0.11899,0.09307,0.7828,0.000236769,0.000236769,0.000236769
39,7450.51,0.14026,0.10101,0.77229,0.99882,1,0.995,0.99121,0.11757,0.09121,0.78349,0.000160943,0.000160943,0.000160943
40,7663.38,0.14097,0.09901,0.77306,0.99878,1,0.995,0.99122,0.11628,0.09029,0.78189,0.000115259,0.000115259,0.000115259
